date,division,unemployment
2017-01-01,DOMINGO,33
2017-01-02,LUNES,37
2017-01-03,MARTES,75
2017-01-04,MIERCOLES,50
2017-01-05,JUEVES,63
2017-01-06,VIERNES,61
2017-01-07,SABADO,54
2017-01-08,DOMINGO,28
2017-01-09,LUNES,41
2017-01-10,MARTES,72
2017-01-11,MIERCOLES,74
2017-01-12,JUEVES,83
2017-01-13,VIERNES,85
2017-01-14,SABADO,56
2017-01-15,DOMINGO,43
2017-01-16,LUNES,86
2017-01-17,MARTES,96
2017-01-18,MIERCOLES,83
2017-01-19,JUEVES,67
2017-01-20,VIERNES,76
2017-01-21,SABADO,91
2017-01-22,DOMINGO,50
2017-01-23,LUNES,85
2017-01-24,MARTES,80
2017-01-25,MIERCOLES,90
2017-01-26,JUEVES,74
2017-01-27,VIERNES,104
2017-01-28,SABADO,85
2017-01-29,DOMINGO,55
2017-01-30,LUNES,89
2017-01-31,MARTES,90
2017-02-01,MIERCOLES,97
2017-02-02,JUEVES,65
2017-02-03,VIERNES,126
2017-02-04,SABADO,94
2017-02-05,DOMINGO,54
2017-02-06,LUNES,107
2017-02-07,MARTES,116
2017-02-08,MIERCOLES,111
2017-02-09,JUEVES,92
2017-02-10,VIERNES,109
2017-02-11,SABADO,111
2017-02-12,DOMINGO,74
2017-02-13,LUNES,113
2017-02-14,MARTES,78
2017-02-15,MIERCOLES,91
2017-02-16,JUEVES,95
2017-02-17,VIERNES,118
2017-02-18,SABADO,96
2017-02-19,DOMINGO,74
2017-02-20,LUNES,114
2017-02-21,MARTES,97
2017-02-22,MIERCOLES,106
2017-02-23,JUEVES,105
2017-02-24,VIERNES,101
2017-02-25,SABADO,102
2017-02-26,DOMINGO,65
2017-02-27,LUNES,96
2017-02-28,MARTES,99
2017-03-01,MIERCOLES,91
2017-03-02,JUEVES,91
2017-03-03,VIERNES,107
2017-03-04,SABADO,110
2017-03-05,DOMINGO,48
2017-03-06,LUNES,81
2017-03-07,MARTES,114
2017-03-08,MIERCOLES,98
2017-03-09,JUEVES,95
2017-03-10,VIERNES,101
2017-03-11,SABADO,97
2017-03-12,DOMINGO,60
2017-03-13,LUNES,109
2017-03-14,MARTES,103
2017-03-15,MIERCOLES,79
2017-03-16,JUEVES,114
2017-03-17,VIERNES,129
2017-03-18,SABADO,76
2017-03-19,DOMINGO,50
2017-03-20,LUNES,49
2017-03-21,MARTES,121
2017-03-22,MIERCOLES,97
2017-03-23,JUEVES,105
2017-03-24,VIERNES,105
2017-03-25,SABADO,115
2017-03-26,DOMINGO,63
2017-03-27,LUNES,102
2017-03-28,MARTES,120
2017-03-29,MIERCOLES,102
2017-03-30,JUEVES,100
2017-03-31,VIERNES,122
2017-04-01,SABADO,99
2017-04-02,DOMINGO,78
2017-04-03,LUNES,109
2017-04-04,MARTES,74
2017-04-05,MIERCOLES,97
2017-04-06,JUEVES,90
2017-04-07,VIERNES,106
2017-04-08,SABADO,113
2017-04-09,DOMINGO,60
2017-04-10,LUNES,63
2017-04-11,MARTES,58
2017-04-12,MIERCOLES,80
2017-04-13,JUEVES,44
2017-04-14,VIERNES,36
2017-04-15,SABADO,44
2017-04-16,DOMINGO,41
2017-04-17,LUNES,67
2017-04-18,MARTES,103
2017-04-19,MIERCOLES,93
2017-04-20,JUEVES,86
2017-04-21,VIERNES,117
2017-04-22,SABADO,99
2017-04-23,DOMINGO,60
2017-04-24,LUNES,99
